sha256_hash,malware_family,stratum_tier
f10bae5a5f2d4aaec69ef84ce1bef7cb871b65ecb75f07ceadf64b65bdf72836,ransomware,known
230f6a6994ea1186f2aba98914875db486e58c64a55a9275032cf6347f58ce11,ransomware,known
1b6ae1f3c16590ab424b965d732e4515291348a35cac70951df8a7bd4a6fa4ba,ransomware,known
41edfc9575fca8463dd48c1a7bd0bebe0ddf172413fadb740e44878891ff43a4,ransomware,known
d28730a0d2c5c41edf5e306bb8375da416ea53cf558f48f5a18a4ad039c2721e,ransomware,known
b98100b9fa1520119fb958c4e6405346c140862ac0c367b70b57e5277e3fca71,ransomware,known
02ddfe2dda3247ea015417dd7fcc22e77cbf48330472d27ed074eb677b432cf1,ransomware,known
c66e47c21bd64b22c85543c6d5c4e377e0e533ae405b72d9e09630cb88734078,ransomware,known
723307f9278f604966af1b62154ad8605df0e067f22d48258dfe469bf52d2502,ransomware,known
487a3ca8911826ed45ca988e9ce24d2be755dd9c9256022e965403e7494f5df7,ransomware,known
28ffcd557bb82615b06514a0f5d4ce6aa71ded0c6a651b21e35030fe8c208505,ransomware,known
e7e9fafd5c99f1fde69bb7cf04d3053fa8c827238e371b6bfd3c74ec610387bf,ransomware,known
0c932deef7c03ef66d232f6ce0eaef4dbcaf8961f4cff4b116c0f20e64386720,ransomware,known
eee48387606e7abdf4426147258bb3de936a6f5f7c435ba25d7d9146064521cd,ransomware,known
5a4359c7dd9ab8beb095fc773bf70383b71ee27777488ff1878a8cdcdc7a24b6,ransomware,known
ea27d3bc71124538aeb9fa6d301b4aef14c1dfdf6c9034345c4bbb4e15664848,ransomware,known
02006392237439cf0ba74cff387b21c90aa186f357d0cdc816201f15483d6996,ransomware,known
ac304a445dd8a90219968b98bb3abd4d9a54f754086a1a45bbca0092e3bd098c,ransomware,known
3f51d98c16da4589bf96cdc7b6b54d7bc1f9026bcc4e621c36ed0fce0e57e2d0,ransomware,known
912cc488cc01fdd13d96e60a8dd7e559a5cd4c41c8a15456ebd1bae5fe5dbc14,ransomware,known
b8f7eb0134b8b53502c0588a4ea052da151924538e151fef94556fe185d27bf0,ransomware,known
6669708a245b605cccee74c3649f57cc66ef03f5f20d745b801e888969d69939,ransomware,known
11ce9c1a80d96781a5327f1c4f465c11578aa739b7d1a3ced3f88f1e39b5745b,ransomware,known
3048d325bdd994227acd26faff22e07c72dc415871407dd6515f945fe69366dd,ransomware,known
2596a1e582a6085d02c13fd7461797d95616fdba007dec68af916b1b3716517d,ransomware,known
e49f024281f9786855c4a719be36b72ac20d945ce5575f0cb4ec880e28ef6c12,ransomware,known
0a8717fc61720d276dded348b840d505df16bc9c7398a50890a7fde996531dc1,ransomware,known
404bb91d685a1d180215b1466db91a276812e730d14ba8f791da7fa6e7c75b75,ransomware,known
4af7dbb80955e7ec6d7a0a5c3ac4a24afb0d2951a723c41199196dfdb5605b07,ransomware,known
b687b1c7b42bcb02e4e79df621d1862543914237cd25891dca00f6f4f850ee3f,ransomware,known
425804a29a6616eb89dee773dddf0b37e197f9254f5bcdeed21875bbaeda1990,ransomware,known
e2318d48f514aba8fcf8480868f1255cf05b0e97a89f60b6a7f00283fb5d445f,ransomware,known
60704e2d3e86b4940a5e52f06818d6a6d8f4fe486fa3d9e2018b72fb81faeee8,ransomware,known
b76e4224fa69c25a87cd9b1a96e03c2dccc3055cc7e3463af7083e8a851541bd,ransomware,known
9dd02d730547f0faa1fb844dc58e32bb2c57ab6ede9aaa58ccbca175634d6f8f,ransomware,known
c939947055bb3d19853d4caec1dcbae037e5886dc5876b403c1ee92d4558188a,ransomware,known
b9ade57e1563aed9483f7a88ec46fd0503c430af9c5c91f87946aa716d305ac7,ransomware,known
63b90cf77b189c285d032b3115cd7cf991410632096cc33e74186f660aa8e232,ransomware,known
7b255d34d2f98d8d2ca1b7766a9cd2672e40e22e1287d0641d1285b70ad94ad5,ransomware,known
8fc4795bcfeea1ba05addb39076f33f3b98d85553f47c6a01291f2f44a397d3d,ransomware,known
e7904c131e0126bf4cb213394cbeaa3e72473b212bcb10b55000a28f44c922cb,ransomware,known
98021a16db27c8244a24f73b5bef4de08ad8f345db15b7f31a2a6954749318ff,ransomware,known
7f6d89a0209266c90881fb6b36750629e9f9e7b1ab952268b25d9a33ebbddc67,ransomware,known
1fcaa81c89923cfe113eef9fc8e8cfbac6a294abdd21f83f37001373033d7c60,ransomware,known
4a8cbb424996ae7dc24f68d4aa64b510ca1d18726833588d1b603f51c21864a0,ransomware,known
963b4c7a42e1117e8e40f60eeec1a1bd929bb4326fffce3dfab1455a238b1401,ransomware,known
061afdfa547eb34b88f2f298c0259544cb64cb10c1447630f98dcda0a55b23db,ransomware,known
f42cdbba397225571bbdebfc451f48831762e3228f8335fcb09729e20906c516,ransomware,known
2605c3dfc5a7520f1ed35ff26bedfd336e2727c85c1dcf8e2c19476358ddcd66,ransomware,known
351ca9537c64ff23d7f12a463105d110a7c00b9625bb076c4330271b57595a26,ransomware,known
ecab4add0e450f444a79ff967c8faff7790b6ea64f8799e738c7ce6669124c7c,ransomware,known
45053db627e1272c962963e674a410d931529bac8f509f9cd64ea5d9f9d5f9c1,ransomware,known
e82510cbd5025a4353de773631b420a92d2813df0cfad130c681c7459029827d,ransomware,known
ad6cf95ca91b92d0ac6f2d957036652e99b03fe84aa15763084399d3e013f52c,ransomware,known
5e6d51d0b3013d667b2a8e5226d58dce706b899df16d9cefe0d045141fed3c44,ransomware,known
11116abed69848f4628659b7028655523a2ec4dc8b2f51b24074685f8385a765,ransomware,known
ac396cb7a1884aa31b8cb27010557acff350ebb0239d2c5f901bdf9a15fb7325,ransomware,known
a9726d0f34afb00dec5655b192eb5bf428cc0c6c2dce8995772951bcd6a18364,ransomware,known
0d8edeb046f64dbed24f675c388a680f216104eb3c5a6f44b8b049429bbf0bf1,ransomware,known
2dc67aeaf05b69810785a4045fa2d3d3b994091987ecb2296127cea299ed5db1,ransomware,known
ab2a74a9fc0f6bf8f68ae98c20d09f10b8c549ddbba6873d92c96cfd30775698,ransomware,known
d77d74d0ab9e9faa69fa7245f7a1373adb3ce2f20327e4f70c96370c5fa9a867,ransomware,known
4a6dbdb8805a823d852db0e1f38447eb9e8b064d3713f56592cb1bcef4cb23e9,ransomware,known
c5fa5868f67541ec40f4224ebce5641a9906afc57ca5f5d0cb1a4c4fcc1d28c9,ransomware,known
bfb5dae5b77cb211d98aefbc7cfa1b488d9711a132e0aaf62c69f506cc55d3a3,ransomware,known
989e60a65a1eb00bff34e10db63888ff8a1c840c1f2cf0cad3cfc0d237a51309,ransomware,known
a30fc46c1e74c8607d66aeaca9ebaaedac92a44101b5d1ac5b0adb962f3d7585,ransomware,known
8c38b152d43297c343e765d6fb2741c1bf00fe89b369209085f24ad94951f1a3,ransomware,known
d3f65a1e35193dfd8700533fb09a61f713141dfae6416c4063bca93f0266df99,ransomware,known
96a0b0c84c4ee3c11ee3b4b0e323d9c3ec816d66c97c0959a6ad4b283fc7e9fc,ransomware,known
97ed9c8d8760074abc7f97ee789daf8be5d42e34149702e3869e6a39ea9595c6,ransomware,known
dc069da43bd1b1cc35c3337333a8f8104ed27e4d8cb4c28813725a886c554dc8,ransomware,known
75134c4980713f47183aef27795067d64f0b18795fb9095d49f54bf6cdd00353,ransomware,known
31cc9140bc7b361a4ebb855e85b0121187a36d84d7c0e25f07e6282da245b1ab,ransomware,known
c8595facf27aaf340bd9a558c9816e1885f60ccb02dc9d52d2a148e9f8a7ec39,ransomware,known
de48aae2eba1c819d78a2fafee69b93e3275560c54d57999ea354b91713460a3,ransomware,known
b62d934b4f7401133b6f259de84b2b69fbc6cfc9e351df21c69de24b8167aca7,ransomware,known
4764a07afe5ec7c47c272c869e17a8923b3f1539e2e405dbaafb17f0c08a0fdd,ransomware,known
20d1894f45edf4deb2a8094d73383ba3aac1961a2ed2b177f1f9c68aa4823c26,ransomware,known
